document,sentiment
What makes this film special is Serry 's ability to take what is essentially a contained family conflict and put it into a much larger historical context .,pos
"On that score , the film certainly does n't disappoint .",pos
"In addition to the overcooked , ham-fisted direction , which has all the actors reaching for the back row , the dialogue sounds like horrible poetry .",neg
"Fails in making this character understandable , in getting under her skin , in exploring motivation ... Well before the end , the film grows as dull as its characters , about whose fate it is hard to care .",neg
"While maintaining the appearance of clinical objectivity , this sad , occasionally horrifying but often inspiring film is among Wiseman 's warmest .",pos
"Confusion is one of my least favourite emotions , especially when I have to put up with 146 minutes of it .",neg
Delirious fun .,pos
"A woefully dull , redundant concept that bears more than a whiff of exploitation , despite Iwai 's vaunted empathy .",neg
What a great shame that such a talented director as Chen Kaige has chosen to make his English-language debut with a film so poorly plotted and scripted .,neg
under-rehearsed and lifeless,neg
"The slapstick is labored , and the bigger setpieces flat .",neg
"Just like a splendid meal , Red Dragon satisfies -- from its ripe recipe , inspiring ingredients , certified cuisine and palatable presentation .",pos
A stylistic romp that 's always fun to watch .,pos
Its engaging simplicity is driven by appealing leads .,pos
The script by David Koepp is perfectly serviceable and because he gives the story some soul ... he elevates the experience to a more mythic level .,pos
Wedding feels a bit anachronistic .,neg
"Informative , intriguing , observant , often touching ... gives a human face to what 's often discussed in purely abstract terms .",pos
An exercise in cynicism every bit as ugly as the shabby digital photography and muddy sound .,neg
The Sweetest Thing leaves a bitter taste .,neg
"Soulless and -- even more damning -- virtually joyless , XXX achieves near virtuosity in its crapulence .",neg
A less-than-thrilling thriller .,neg
"Funny , sexy , devastating and incurably romantic .",pos
"Every individual will see the movie through the prism of his or her own beliefs and prejudices , but the one thing most will take away is the sense that peace is possible .",pos
"It is , however , a completely honest , open-hearted film that should appeal to anyone willing to succumb to it .",pos
This franchise has not spawned a single good film .,neg
"Imagine Kevin Smith , the blasphemous bad boy of suburban Jersey , if he were stripped of most of his budget and all of his sense of humor .",neg
How inept is Serving Sara ?,neg
"A sleep-inducingly slow-paced crime drama with clumsy dialogue , heavy-handed phoney-feeling sentiment , and an overly-familiar set of plot devices .",neg
Constantly slips from the grasp of its maker .,neg
A DOA dud from frame one .,neg
A film with almost as many delights for adults as there are for children and dog lovers .,pos
The only entertainment you 'll derive from this choppy and sloppy affair will be from unintentional giggles -- several of them .,neg
It 's no accident that The Accidental Spy is a solid action pic that returns the martial arts master to top form .,pos
"The only way to tolerate this insipid , brutally clueless film might be with a large dose of painkillers .",neg
It 's as raw and action-packed an experience as a ringside seat at a tough-man contest .,pos
It 's always enthralling .,pos
"You see the movie and you think , zzzzzzzzz .",neg
It sucked .,neg
An infuriating film .,neg
"Bogdanovich taps deep into the Hearst mystique , entertainingly reenacting a historic scandal .",pos
Chamber of Secrets will find millions of eager fans .,pos
The early and middle passages are surprising in how much they engage and even touch us .,pos
Dramas like this make it human .,pos
Brisk hack job .,neg
"Measured against practically any like-themed film other than its Oscar-sweeping franchise predecessor The Silence of the Lambs , Red Dragon rates as an exceptional thriller .",pos
"The overall fabric is hypnotic , and Mr. Mattei fosters moments of spontaneous intimacy .",pos
"With Dickens ' words and writer-director Douglas McGrath 's even-toned direction , a ripping good yarn is told .",pos
"If ever such a dependable concept was botched in execution , this is it .",neg
Shot like a postcard and overacted with all the boozy self-indulgence that brings out the worst in otherwise talented actors ...,neg
"A beautiful , entertaining two hours .",pos
Another boorish movie from the I-heard-a-joke - at-a-frat-party school of screenwriting .,neg
"Swims in mediocrity , sticking its head up for a breath of fresh air now and then .",neg
Staggers between flaccid satire and what is supposed to be madcap farce .,neg
It 's a cool event for the whole family .,pos
What might have emerged as hilarious lunacy in the hands of Woody Allen or Mel Brooks -LRB- at least during their '70s heyday -RRB- comes across as lame and sophomoric in this debut indie feature .,neg
"On its icy face , the new film is a subzero version of Monsters , Inc. , without the latter 's imagination , visual charm or texture .",neg
A coming-of-age movie that Hollywood would n't have the guts to make .,pos
Morvern rocks .,pos
"Anyone who suffers through this film deserves , at the very least , a big box of consolation candy .",neg
"An erotic thriller that 's neither too erotic nor very thrilling , either .",neg
"Think The Lion King redone for horses , with fewer deliberate laughs , more inadvertent ones and stunningly trite songs by Bryan Adams , the world 's most generic rock star .",neg
"Jones ... makes a great impression as the writer-director of this little $ 1.8 million charmer , which may not be cutting-edge indie filmmaking but has a huge heart .",pos
delightfully rendered,pos
"Even if the Naipaul original remains the real masterpiece , the movie possesses its own languorous charm .",pos
This is the case of a pregnant premise being wasted by a script that takes few chances and manages to insult the intelligence of everyone in the audience .,neg
A terrifically entertaining specimen of Spielbergian sci-fi .,pos
A chiller resolutely without chills .,neg
"The film feels formulaic , its plot and pacing typical Hollywood war-movie stuff , while the performances elicit more of a sense of deja vu than awe .",neg
Poor Ben Bratt could n't find stardom if MapQuest emailed him point-to-point driving directions .,neg
"Dull , a road-trip movie that 's surprisingly short of both adventure and song .",neg
"No French people were harmed during the making of this movie , but they were insulted and the audience was put through torture for an hour and a half .",neg
`` Simone '' is a fun and funky look into an artificial creation in a world that thrives on artificiality .,pos
"Twenty years later , E.T. is still a cinematic touchstone .",pos
Throws in enough clever and unexpected twists to make the formula feel fresh .,pos
"A fun family movie that 's suitable for all ages -- a movie that will make you laugh , cry and realize , ` It 's never too late to believe in your dreams . '",pos
Knows how to make our imagination wonder .,pos
"Interminably bleak , to say nothing of boring .",neg
Their parents would do well to cram earplugs in their ears and put pillowcases over their heads for 87 minutes .,neg
The Country Bears wastes an exceptionally good idea .,neg
A story which fails to rise above its disgusting source material .,neg
Fun and nimble .,pos
It 's a masterpeice .,pos
"Special P.O.V. camera mounts on bikes , skateboards , and motorcycles provide an intense experience when splashed across the immense IMAX screen .",pos
"Mr. Goyer 's loose , unaccountable direction is technically sophisticated in the worst way .",neg
"Romantic comedy and Dogme 95 filmmaking may seem odd bedfellows , but they turn out to be delightfully compatible here .",pos
That such a horrible movie could have sprung from such a great one is one of the year 's worst cinematic tragedies .,neg
"Like a bad improvisation exercise , the superficially written characters ramble on tediously about their lives , loves and the art they 're struggling to create .",neg
"With an admirably dark first script by Brent Hanley , Paxton , making his directorial feature debut , does strong , measured work .",pos
Give credit to everyone from Robinson down to the key grip that this bold move works .,pos
"All three actresses are simply dazzling , particularly Balk , who 's finally been given a part worthy of her considerable talents .",pos
"Forages for audience sympathy like a temperamental child begging for attention , giving audiences no reason to truly care for its decrepit freaks beyond the promise of a reprieve from their incessant whining .",neg
"Long before it 's over , you 'll be thinking of 51 ways to leave this loser .",neg
You can not guess why the cast and crew did n't sign a pact to burn the negative and the script and pretend the whole thing never existed .,neg
"A fantastically vital movie that manages to invest real humor , sensuality , and sympathy into a story about two adolescent boys .",pos
"At the one-hour mark , Herzog simply runs out of ideas and the pace turns positively leaden as the movie sputters to its inevitable tragic conclusion .",neg
"The story suffers a severe case of oversimplification , superficiality and silliness .",neg
What a stiflingly unfunny and unoriginal mess this is !,neg
"It 's a wonderful , sobering , heart-felt drama .",pos
Below is well below expectations .,neg
... irritating soul-searching garbage .,neg
"A vile , incoherent mess ... a scummy ripoff of David Cronenberg 's brilliant ` Videodrome . '",neg
"Even if the enticing prospect of a lot of nubile young actors in a film about campus depravity did n't fade amid the deliberate , tiresome ugliness , it would be rendered tedious by Avary 's failure to construct a story with even a trace of dramatic interest .",neg
"Loud , silly , stupid and pointless .",neg
"Unfortunately , Kapur modernizes A.E.W. Mason 's story to suit the sensibilities of a young American , a decision that plucks `` The Four Feathers '' bare .",neg
"Please , someone , stop Eric Schaeffer before he makes another film .",neg
"As a science fiction movie , `` Minority Report '' astounds .",pos
The ingenuity that Parker displays in freshening the play is almost in a class with that of Wilde himself .,pos
The kind of film that leaves you scratching your head in amazement over the fact that so many talented people could participate in such an ill-advised and poorly executed idea .,neg
"-LRB- Carvey 's -RRB- characters are both overplayed and exaggerated , but then again , subtlety has never been his trademark .",neg
10 minutes into the film you 'll be white-knuckled and unable to look away .,pos
"The satire is unfocused , while the story goes nowhere .",neg
The movie suffers from two fatal ailments -- a dearth of vitality and a story that 's shapeless and uninflected .,neg
This may be Burns 's strongest film since The Brothers McMullen .,pos
"... has about 3\/4th the fun of its spry 2001 predecessor -- but it 's a rushed , slapdash , sequel-for-the-sake - of-a-sequel with less than half the plot and ingenuity .",neg
He does this so well you do n't have the slightest difficulty accepting him in the role .,pos
"An awful lot like one of -LRB- Spears ' -RRB- music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it .",neg
"Not only does Spider-Man deliver , but I suspect it might deliver again and again .",pos
The Paradiso 's rusted-out ruin and ultimate collapse during the film 's final -LRB- restored -RRB- third ... emotionally belittle a cinema classic .,neg
... you can be forgiven for realizing that you 've spent the past 20 minutes looking at your watch and waiting for Frida to just die already .,neg
"Yes , I suppose it 's lovely that Cal works out his issues with his dad and comes to terms with his picture-perfect life -- but World Traveler gave me no reason to care , so I did n't .",neg
Kung Pow seems like some futile concoction that was developed hastily after Oedekerk and his fellow moviemakers got through crashing a college keg party .,neg
"... unlikable , uninteresting , unfunny , and completely , utterly inept .",neg
"A smart , compelling drama .",pos
"Wickedly funny , visually engrossing , never boring , this movie challenges us to think about the ways we consume pop culture .",pos
"once she lets her love depraved leads meet , -LRB- Denis ' -RRB- story becomes a hopeless , unsatisfying muddle",neg
"Coarse , cliched and clunky , this trifling romantic comedy in which opposites attract for no better reason than that the screenplay demands it squanders the charms of stars Hugh Grant and Sandra Bullock .",neg
"But while the highly predictable narrative falls short , Treasure Planet is truly gorgeous to behold .",pos
The kind of sweet-and-sour insider movie that film buffs will eat up like so much gelati .,pos
Perhaps the grossest movie ever made .,neg
A riveting documentary .,pos
"No amount of burning , blasting , stabbing , and shooting can hide a weak script .",neg
The fluid motion is astounding on any number of levels,pos
These people are really going to love The Piano Teacher .,pos
The premise itself is just SOOOOO tired .,neg
"An inventive , absorbing movie that 's as hard to classify as it is hard to resist .",pos
"Tells a fascinating , compelling story .",pos
It 's a glorious spectacle like those D.W. Griffith made in the early days of silent film .,pos
"No , I hate it .",neg
Consider it ` perfection . ',pos
"A surprisingly flat retread , hobbled by half-baked setups and sluggish pacing .",neg
"An unremittingly ugly movie to look at , listen to , and think about , it is quite possibly the sturdiest example yet of why the DV revolution has cheapened the artistry of making a film .",neg
"To better understand why this did n't connect with me would require another viewing , and I wo n't be sitting through this one again ... that in itself is commentary enough .",neg
"If you enjoy being rewarded by a script that assumes you are n't very bright , then Blood Work is for you .",neg
"When compared to the usual , more somber festival entries , Davis ' highly personal brand of romantic comedy is a tart , smart breath of fresh air that stands out from the pack even if the picture itself is somewhat problematic .",pos
"I 've never seen -LRB- a remake -RRB- do anything as stomach-turning as the way Adam Sandler 's new movie rapes , pillages and incinerates Frank Capra 's classic ...",neg
"It is messy , uncouth , incomprehensible , vicious and absurd .",neg
Those who are n't put off by the film 's austerity will find it more than capable of rewarding them .,pos
"A genuinely funny ensemble comedy that also asks its audience -- in a heartwarming , nonjudgmental kind of way -- to consider what we value in our daily lives .",pos
You expect more from director Michael Apted -LRB- Enigma -RRB- and screenwriter Nicholas Kazan -LRB- Reversal of Fortune -RRB- than this cliche pileup .,neg
"Admirers of director Abel Ferrara may be relieved that his latest feature , R Xmas , marks a modest if encouraging return to form .",pos
The best thing I can say about this film is that I ca n't wait to see what the director does next .,pos
Festers in just such a dungpile that you 'd swear you were watching monkeys flinging their feces at you .,neg
It zips along with B-movie verve while adding the rich details and go-for-broke acting that heralds something special .,pos
"There 's no palpable chemistry between Lopez and male lead Ralph Fiennes , plus the script by Working Girl scribe Kevin Wade is workmanlike in the extreme .",neg
"Bursting through the constraints of its source , this is one adapted - from-television movie that actually looks as if it belongs on the big screen .",pos
A thriller without a lot of thrills .,neg
It 's that rare family movie -- genuine and sweet without relying on animation or dumb humor .,pos
The plot is paper-thin and the characters are n't interesting enough to watch them go about their daily activities for two whole hours .,neg
That chirpy songbird Britney Spears has popped up with more mindless drivel .,neg
"It 's a treat -- a delightful , witty , improbable romantic comedy with a zippy jazzy score ... Grant and Bullock make it look as though they are having so much fun .",pos
This is one baaaaaaaaad movie .,neg
We 've liked Klein 's other work but Rollerball left us cold .,neg
"Once the expectation of laughter has been quashed by whatever obscenity is at hand , even the funniest idea is n't funny .",neg
"A fascinating , bombshell documentary that should shame Americans , regardless of whether or not ultimate blame finally lies with Kissinger .",pos
A thoroughly entertaining comedy that uses Grant 's own twist of acidity to prevent itself from succumbing to its own bathos .,pos
Devoid of any of the qualities that made the first film so special .,neg
"It is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .",pos
"... unspeakably , unbearably dull , featuring reams of flatly delivered dialogue and a heroine who comes across as both shallow and dim-witted .",neg
"Ryan Gosling is , in a word , brilliant as the conflicted Daniel .",pos
A lame romantic comedy about an unsympathetic character and someone who would not likely be so stupid as to get involved with her .,neg
An awful movie that will only satisfy the most emotionally malleable of filmgoers .,neg
"Tartakovsky 's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality .",neg
The lack of naturalness makes everything seem self-consciously poetic and forced ... It 's a pity that -LRB- Nelson 's -RRB- achievement does n't match his ambition .,neg
"The issues are presented in such a lousy way , complete with some of the year 's -LRB- unintentionally -RRB- funniest moments , that it 's impossible to care .",neg
The story is bogus and its characters tissue-thin .,neg
A refreshing change from the usual whoopee-cushion effort aimed at the youth market .,pos
"It would be great to see this turd squashed under a truck , preferably a semi .",neg
Me Without You has a bracing truth that 's refreshing after the phoniness of female-bonding pictures like Divine Secrets of the Ya-Ya Sisterhood .,pos
"Amid the new populist comedies that underscore the importance of family tradition and familial community , one would be hard-pressed to find a movie with a bigger , fatter heart than Barbershop .",pos
Very stupid and annoying .,neg
An incoherent jumble of a film that 's rarely as entertaining as it could have been .,neg
"Seagal ran out of movies years ago , and this is just the proof .",neg
"The waterlogged script plumbs uncharted depths of stupidity , incoherence and sub-sophomoric sexual banter .",neg
"As David Letterman and The Onion have proven , the worst of tragedies can be fertile sources of humor , but Lawrence has only a fleeting grasp of how to develop them .",neg
Nicole Kidman makes it a party worth attending .,pos
It 's technically sumptuous but also almost wildly alive .,pos
It 's no lie -- Big Fat Liar is a real charmer .,pos
"A slick , engrossing melodrama .",pos
"An action\/thriller of the finest kind , evoking memories of Day of the Jackal , The French Connection , and Heat .",pos
The problem is that it is one that allows him to churn out one mediocre movie after another .,neg
"Simply put , `` Far From Heaven '' is a masterpiece .",pos
"Morvern Callar confirms Lynne Ramsay as an important , original talent in international cinema .",pos
A gem of a movie .,pos
You can sip your vintage wines and watch your Merchant Ivory productions ; I 'll settle for a nice cool glass of iced tea and a Jerry Bruckheimer flick any day of the week .,pos
"It made me feel unclean , and I 'm the guy who liked There 's Something About Mary and both American Pie movies .",neg
This is an elegantly balanced movie -- every member of the ensemble has something fascinating to do -- that does n't reveal even a hint of artifice .,pos
"Oedekerk mugs mercilessly , and the genuinely funny jokes are few and far between .",neg
Neil Burger here succeeded in ... making the mystery of four decades back the springboard for a more immediate mystery in the present .,pos
This is absolutely and completely ridiculous and an insult to every family whose mother has suffered through the horrible pains of a death by cancer .,neg
It 's not a motion picture ; it 's an utterly static picture .,neg
Raimi crafted a complicated hero who is a welcome relief from the usual two-dimensional offerings .,pos
"The main characters are simply named The Husband , The Wife and The Kidnapper , emphasizing the disappointingly generic nature of the entire effort .",neg
"A cultural wildcard experience : wacky , different , unusual , even nutty .",pos
A dazzling dream of a documentary .,pos
"Intensely romantic , thought-provoking and even an engaging mystery .",pos
"Director Juan Jose Campanella could have turned this into an Argentine retread of `` Iris '' or `` American Beauty , '' but instead pulls a little from each film and creates something more beautiful than either of those films .",pos
I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .,pos
Press the delete key .,neg
"Like Rudy Yellow Lodge , Eyre needs to take a good sweat to clarify his cinematic vision before his next creation and remember the lessons of the trickster spider .",neg
... an enjoyably frothy ` date movie ' ...,pos
"A bittersweet contemporary comedy about benevolent deception , which , while it may not rival the filmmaker 's period pieces , is still very much worth seeing .",pos
Imagine O. Henry 's The Gift of the Magi relocated to the scuzzy underbelly of NYC 's drug scene .,neg
"Peralta captures , in luminous interviews and amazingly evocative film from three decades ago , the essence of the Dogtown experience .",pos
The movie is ingenious fun .,pos
"A first-class , thoroughly involving B movie that effectively combines two surefire , beloved genres -- the prison flick and the fight film .",pos
"Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .",pos
Amazingly lame .,neg
Adaptation is simply brilliant .,pos
Kids should have a stirring time at this beautifully drawn movie .,pos
"The Son Of The Bride 's humour is born out of an engaging storyline , which also is n't embarrassed to make you reach for the tissues .",pos
"-LRB- Creates -RRB- the worst kind of mythologizing , the kind that sacrifices real heroism and abject suffering for melodrama .",neg
"A movie I loved on first sight and , even more important , love in remembrance .",pos
"A taut , sobering film .",pos
Audiard successfully maintains suspense on different levels throughout a film that is both gripping and compelling .,pos
"Secret Ballot is a funny , puzzling movie ambiguous enough to be engaging and oddly moving .",pos
Great character interaction .,pos
This is a fascinating film because there is no clear-cut hero and no all-out villain .,pos
"Peter Jackson and company once again dazzle and delight us , fulfilling practically every expectation either a longtime Tolkien fan or a movie-going neophyte could want .",pos
The thought of watching this film with an audience full of teenagers fixating on its body humour and reinforcement of stereotypes -LRB- of which they 'll get plenty -RRB- fills me with revulsion .,neg
... the kind of entertainment that parents love to have their kids see .,pos
-LRB- Hell is -RRB- looking down at your watch and realizing Serving Sara is n't even halfway through .,neg
"Impossible as it may sound , this film 's heart is even more embracing than Monty , if only because it accepts nasty behavior and severe flaws as part of the human condition .",pos
Many a parent and their teen -LRB- or preteen -RRB- kid could bond while watching A Walk To Remember .,pos
"` Anyone with a passion for cinema , and indeed sex , should see it as soon as possible . '",pos
"This method almost never fails him , and it works superbly here .",pos
"` In this poor remake of such a well loved classic , Parker exposes the limitations of his skill and the basic flaws in his vision . '",neg
"With a completely predictable plot , you 'll swear that you 've seen it all before , even if you 've never come within a mile of The Longest Yard .",neg
"Still , this flick is fun , and host to some truly excellent sequences .",pos
"The story ... is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is .",pos
This comic gem is as delightful as it is derivative .,pos
-LRB- MacDowell -RRB- ventures beyond her abilities several times here and reveals how bad an actress she is .,neg
Will warm your heart without making you feel guilty about it .,pos
I love the robust middle of this picture .,pos
"There are n't too many films that can be as simultaneously funny , offbeat and heartwarming -LRB- without a thick shmear of the goo , at least -RRB- , but `` Elling '' manages to do all three quite well , making it one of the year 's most enjoyable releases .",pos
Douglas McGrath 's Nicholas Nickleby does Dickens as it should be done cinematically .,pos
"Rob Schneider 's infantile cross-dressing routines fill The Hot Chick , the latest gimmick from this unimaginative comedian .",neg
"The script , the gags , the characters are all direct-to-video stuff , and that 's where this film should have remained .",neg
"Priggish , lethargically paced parable of renewal .",neg
Directors Brett Morgen and Nanette Burstein have put together a bold biographical fantasia .,pos
"With a cast of A-list Brit actors , it is worth searching out .",pos
"Daily struggles and simple pleasures usurp the preaching message so that , by the time the credits roll across the pat ending , a warm , fuzzy feeling prevails .",pos
An escapist confection that 's pure entertainment .,pos
"A loud , low-budget and tired formula film that arrives cloaked in the euphemism ` urban drama . '",neg
"Lacks the spirit of the previous two , and makes all those jokes about hos and even more unmentionable subjects seem like mere splashing around in the muck .",neg
An incredibly irritating comedy about thoroughly vacuous people ... manages to embody the worst excesses of nouvelle vague without any of its sense of fun or energy .,neg
"But the 2002 film does n't really believe in it , and breaks the mood with absurdly inappropriate ` comedy ' scenes .",neg
"With little visible talent and no energy , Colin Hanks is in bad need of major acting lessons and maybe a little coffee .",neg
"In addition to scoring high for originality of plot -- putting together familiar themes of family , forgiveness and love in a new way -- Lilo & Stitch has a number of other assets to commend it to movie audiences both innocent and jaded .",pos
`` Solaris '' is a shapeless inconsequential move relying on the viewer to do most of the work .,neg
"Behind the glitz , Hollywood is sordid and disgusting .",neg
